,date,user,location,comment
0,2021-05-04 05:13:56,GeoffLierse,,@parkeralewis @Tesla Master of Pump and Dump really. The Q1 2021 Tesla profit was all from selling BTC. Tesla has n… https://t.co/GJs8hAILMo
1,2021-05-04 00:59:00,Mike3120431204,"Riverdale, GA","Flash dump on $btc again... affecting not only $doge, but all alts.. dumb ducks are selling... n whales are accumul… https://t.co/dKzAK8rZg0"
2,2021-05-04 00:46:18,Cdub23456,United States,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
3,2021-05-03 23:22:31,mrjohnyd,"Lisbon, Portugal","RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
4,2021-05-03 21:56:44,Telcoin_Terry,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
5,2021-05-03 20:04:25,Mateusz00822104,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
6,2021-05-03 19:47:47,murmelt1er,Schweiz,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
7,2021-05-03 19:31:23,Altc0inInvestor,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
8,2021-05-03 19:30:05,tommaxofficial,On the blockchain,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
9,2021-05-03 19:20:08,JhonnyClothing,"England, United Kingdom","RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
10,2021-05-03 19:18:52,PuchUser,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
11,2021-05-03 19:09:42,studio322musica,here and there...,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
12,2021-05-03 18:55:27,Paul697Batito,"Languedoc-Roussillon, France","RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
13,2021-05-03 18:51:48,TonyBanjaro,Amsterdam,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
14,2021-05-03 18:51:03,Maxmad19701,The Matrix ,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
15,2021-05-03 18:48:07,kbananaboat,Space,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
16,2021-05-03 18:48:05,eonpax,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
17,2021-05-03 18:47:11,T123Adcock,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
18,2021-05-03 18:46:56,steveyjowins11,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
19,2021-05-03 18:46:05,KarrimMohamed1,"New York, USA","RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
20,2021-05-03 18:45:45,TelcoinBreakout,Saturn,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
21,2021-05-03 18:45:43,GucluAyk,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
22,2021-05-03 18:45:12,Paddy_Stash,East Coast USA ,"$TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..… https://t.co/FMTYgsV6yJ"
23,2021-05-03 14:03:56,KingChess13T,"washington, d.c",@WWBitcoin Alex would you dump more into something like cake after selling my doge. Because the amount I can buy of… https://t.co/HlfGOlcEKo
24,2021-05-03 13:56:25,Mike3120431204,"Riverdale, GA",$btc will never reach it's full potential if they flash dump like this ...... the few that hold 75% of it... in an… https://t.co/wNJuWe2eKz
25,2021-05-03 13:37:04,Crypto_L00n,,"@TomSmallwood @Adouble212 I don’t disagree with you that they are the future, and would potentially add THETA to th… https://t.co/uJUKHgrxle"
26,2021-05-03 09:11:38,FedKassad,Hyperion,"The current $MATIC #YieldFarming game is rather simple:

1. Enter at launch and dump the first 2 hours at least, th… https://t.co/K9EFGVI17s"
27,2021-05-03 05:15:51,BuntyCholmonde1,"Florence, Tuscany","@oabdelmaged1 @APompliano Because they are all pumping crypto while they dump slowly, selling BTC while others pile… https://t.co/oVRgMfXfB1"
28,2021-05-02 11:40:33,YtUhm,,"RT @MayaDev88630647: This is last time to book profit for short term holders.
Btc is still around 56500$
It will easy dump to 52k then next…"
29,2021-05-02 10:30:41,MayaDev88630647,,"This is last time to book profit for short term holders.
Btc is still around 56500$
It will easy dump to 52k then n… https://t.co/z1v9UGMpc5"
30,2021-05-02 04:00:04,Mike3120431204,"Riverdale, GA",$btc taking a whale induced calculated dump for more altcoins... n dummies are panic selling lol... stupid fucks
31,2021-05-01 17:25:59,zdenek_0070,,@GodLovesSlavery @Keexzus @cryptorecruitr 2 days ago some whale sold 2000 BTC (Okex). Was it a selling high (compar… https://t.co/vV30SJXurc
32,2021-05-01 16:16:10,AbbassyMo,,"@justinsuntron @cz_binance @BinanceBCF In order for this pump to be successful and for everyone to make a profit, p… https://t.co/5dhTNBnkfx"
33,2021-05-01 16:15:58,AbbassyMo,,"@cz_binance @BinanceBCF In order for this pump to be successful and for everyone to make a profit, please do the fo… https://t.co/sQCyrdY8tp"
34,2021-05-01 16:12:35,AbbassyMo,,"In order for this pump to be successful and for everyone to make a profit, please do the following 
 1. Buy the coi… https://t.co/4xBl7VMNYG"
35,2021-05-01 07:45:52,vikasdulgunde,Hyderabad,"@donBeara Lol, very true actually, my mind blows when I see weekly chart of btc, the major dump is inevitable publi… https://t.co/NJx8zXpNXs"
36,2021-05-01 00:21:14,RealMiniDoge,United States,@travis_long823 @safemoon its a scam they are slowly dumping and slowly drawing price up to fever pitch.. theyll th… https://t.co/7r7FkBtw8u
37,2021-04-30 16:29:26,StPaulHawk,,@youngfishfood @krishnanrohit @robert_rylander @Keubiko Elon doesn't drive btc. He does have influence though. Stil… https://t.co/ZVu0Ha5JkF
38,2021-04-30 12:02:16,Kelly1033,Spain,@AhadMal010 @jamesthecrypto @KoroushAK I can emphasise with being all in and not selling before the dip 😐I’m dreadi… https://t.co/IbEbxWSiaC
39,2021-04-29 20:08:29,ventures_golden,,its so annoying when $BTC dump then altcoins dump too. we dont need #Bitcoin to control price others cryptocurrency… https://t.co/kUQjDpzVun
40,2021-04-29 17:56:24,NoobCrypta,,@Hayess5178 If it goes below 52keks I am going to dump the entire market by selling my 0.99 BTC.
41,2021-04-29 16:53:21,CryptoT08541129,,Start to follow #CardanoAfrica streaming and stop selling #ADA during #BTC dump! A lot of innovations coming! Not financial advise..!
42,2021-04-29 15:11:00,istocnodrvo,europe,"tanking $btc.d while $btc ranges after a dump was the top in 2017.
retail is here and dumber than ever. idk but tha… https://t.co/TlXVKcA3LW"
43,2021-04-29 06:27:19,BTC_TradingLab,,"ABC GAME is ON.

This USUAL BITCOIN pattern after a massive dump from 56.5k or SELLING WALL was really frustrating… https://t.co/eqBLgYlIlC"
44,2021-04-28 07:56:23,CryptoBange,Melbourne,@BTC_IS_FREEDOM @LayahHeilpern I think the dump we are used to for the cold winters might not happen. The miners ar… https://t.co/cXo0FknH97
45,2021-04-28 07:55:15,webnowcompany,USA,"Dave Portnoy aka “El Pres” of Barstool Sports is cheesed at Elon Musk‘s, or rather, Tesla’s decision to “dump” its… https://t.co/0hDBkRPgW6"
46,2021-04-28 06:33:47,Bx_user,,@Anton__BTC @CL207 Nope. Corporate treasuries take profits and rebalance quarterly. So they whole way up they will… https://t.co/wfuDGc1EnN
47,2021-04-28 05:09:19,DrFrosty14,,@elonmusk Curious if you expected so much flak about selling a small amount of those $BTC? Not sure how they can cl… https://t.co/vMcO9ARXnP
48,2021-04-28 00:48:43,itssimplyj_,Decentralization Matters 🗽,I'm not mad about @Tesla selling their #bitcoin but if you wanna prove liquidity...why not just pay for what you ne… https://t.co/T9nI6CJ2uB
49,2021-04-27 20:41:11,TSLA__bot,Tesla station on Mars,"RT @cryptodreams11: @ltc_angel Exactly, and ppl are selling like $BTC is the bad investment, dump $TSLA and put your money where it counts"
50,2021-04-27 16:59:59,CryptoMoonGirl1,,Bullish on BTC Elon did not dump he just wanted to provide investors that it is easy provide liquidity by selling 1… https://t.co/TganDncHP8
51,2021-04-27 16:22:27,camanishnegi,"New Delhi, India","If #Tesla buying and selling #bitcoins is not pump and dump, then I’m not sure what it is.

#btc #TSLA #ElonMusk"
52,2021-04-27 15:41:40,ikemsamuel11,Abuja,"@sweetsinner3 If they sell Elon will buy it at dump.
People don't actually know the game, Most Politicians are buyi… https://t.co/USaidd2Ybc"
53,2021-04-27 15:00:29,AvgJoeCrypto,,@jack_brooklyn7 When you pump up a #BTC purchase and then dump 275 million on the market to cover your own ass beca… https://t.co/bBWAL7HGR1
54,2021-04-27 09:55:10,butch_dogg,BTC ,@CheckMateHere @mbrochh @stevenmtorok @WhalePanda I’m disagreeing with you. You’re Calling it a dump. How is it a d… https://t.co/0F9tnjkIX0
55,2021-04-27 08:22:30,iSplevinski,,@GoingParabolic @elonmusk Geez why the instant hate from tesla selling 10% of their btc? They could literally dump… https://t.co/TcHo1LCJ4T
56,2021-04-27 06:53:44,Robert44279020,"Philadelphia, PA",RT @JonasFerris: Tesla didn't just make money selling carbon credits last quarter... they also made a bundle pumping and dumping bitcoin! I…
57,2021-04-27 06:53:44,theprabhakars,"Los Angeles, CA","Tesla has made more profit by selling bitcoin than in 14 years of selling cars.

#VET #Vechain #Polygon #MATIC #WRX… https://t.co/Qie0td0Zcq"
58,2021-04-27 04:55:50,ClayFragulia,,RT @JonasFerris: Tesla didn't just make money selling carbon credits last quarter... they also made a bundle pumping and dumping bitcoin! I…
59,2021-04-27 04:55:06,JonasFerris,"Miami Beach, FL",Tesla didn't just make money selling carbon credits last quarter... they also made a bundle pumping and dumping bit… https://t.co/jhEjJ6ELkH
60,2021-04-27 03:09:39,garrygolden,"Brooklyn, NY","@Norsunenergy Yes he does - may be right. 
Elon sees BTC as a way to access other people's cash quickly by meme pum… https://t.co/GE02ut1zJP"
61,2021-04-27 01:52:08,AceTrader22,,#BTC and most of the Alts to see Selling from today. Not expecting 56k can revisit 48k by weekend. Funny thing is w… https://t.co/9GTF0YgMqE
62,2021-04-27 01:24:42,jamestmccue,,"@tsarrast I'd never dump out of BTC -  you know I'm a true believer, but people that SELL for cash for meatspace sh… https://t.co/677AYf704T"
63,2021-04-26 23:48:33,StackinBits,"Beach, Earth, Milky Way Galaxy","@nebraskangooner It’s interesting that he waited so long. Almost concerning, but could be a great signal too. Let’s… https://t.co/tw3hqLbNgN"
64,2021-04-26 23:45:58,RootVeritas,,RT @_Kevin_Pham: The CFO of Tesla calculating that the NPV of allocating billions toward using Elon's cult following to pump &amp; dump a knock…
65,2021-04-26 23:37:40,_Kevin_Pham,,The CFO of Tesla calculating that the NPV of allocating billions toward using Elon's cult following to pump &amp; dump… https://t.co/WBXe0lXPeE
66,2021-04-26 21:38:53,cryptodreams11,,"@ltc_angel Exactly, and ppl are selling like $BTC is the bad investment, dump $TSLA and put your money where it counts"
67,2021-04-26 21:22:16,tradetraderson,Everywhere and Nowhere,@MaxPrimeXRP @KriegVII can't make money from selling cars so i guess. why not just be a BTC pump and dump trading desk then.
68,2021-04-26 21:22:05,100stolev,Madagascar,The $BTC shortsqueeze post the Tesla selling dump gonna be epic.
69,2021-04-26 17:25:12,Debussy100,,"Only problem, there are lots of finicky $atom sellers that keep selling every little BTC dump, so watch out for that."
70,2021-04-26 16:40:35,rRangoVal,The Netherlands ,@cryptorecruitr Would it drop because of BTC? I don’t see anyone else selling Cardano for 1.20$ unless btc takes a dump
