,date,user,location,comment
56,2021-05-02 10:30:41,MayaDev88630647,,"This is last time to book profit for short term holders.
Btc is still around 56500$
It will easy dump to 52k then n… https://t.co/z1v9UGMpc5"
55,2021-05-02 11:40:33,YtUhm,,"RT @MayaDev88630647: This is last time to book profit for short term holders.
Btc is still around 56500$
It will easy dump to 52k then next…"
54,2021-05-03 05:15:51,BuntyCholmonde1,"Florence, Tuscany","@oabdelmaged1 @APompliano Because they are all pumping crypto while they dump slowly, selling BTC while others pile… https://t.co/oVRgMfXfB1"
53,2021-05-03 09:11:38,FedKassad,Hyperion,"The current $MATIC #YieldFarming game is rather simple:

1. Enter at launch and dump the first 2 hours at least, th… https://t.co/K9EFGVI17s"
52,2021-05-03 13:37:04,Crypto_L00n,,"@TomSmallwood @Adouble212 I don’t disagree with you that they are the future, and would potentially add THETA to th… https://t.co/uJUKHgrxle"
51,2021-05-03 13:56:25,Mike3120431204,"Riverdale, GA",$btc will never reach it's full potential if they flash dump like this ...... the few that hold 75% of it... in an… https://t.co/wNJuWe2eKz
50,2021-05-03 14:03:56,KingChess13T,"washington, d.c",@WWBitcoin Alex would you dump more into something like cake after selling my doge. Because the amount I can buy of… https://t.co/HlfGOlcEKo
49,2021-05-03 18:45:12,Paddy_Stash,East Coast USA ,"$TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..… https://t.co/FMTYgsV6yJ"
48,2021-05-03 18:45:43,GucluAyk,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
47,2021-05-03 18:45:45,TelcoinBreakout,Saturn,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
46,2021-05-03 18:46:05,KarrimMohamed1,"New York, USA","RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
45,2021-05-03 18:46:56,steveyjowins11,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
44,2021-05-03 18:47:11,T123Adcock,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
43,2021-05-03 18:48:05,eonpax,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
42,2021-05-03 18:48:07,kbananaboat,Space,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
41,2021-05-03 18:51:03,Maxmad19701,The Matrix ,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
40,2021-05-03 18:51:48,TonyBanjaro,Amsterdam,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
39,2021-05-03 18:55:27,Paul697Batito,"Languedoc-Roussillon, France","RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
38,2021-05-03 19:09:42,studio322musica,here and there...,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
37,2021-05-03 19:18:52,PuchUser,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
36,2021-05-03 19:20:08,JhonnyClothing,"England, United Kingdom","RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
35,2021-05-03 19:30:05,tommaxofficial,On the blockchain,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
34,2021-05-03 19:31:23,Altc0inInvestor,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
33,2021-05-03 19:47:47,murmelt1er,Schweiz,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
32,2021-05-03 20:04:25,Mateusz00822104,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
31,2021-05-03 21:56:44,Telcoin_Terry,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
30,2021-05-03 23:22:31,mrjohnyd,"Lisbon, Portugal","RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
29,2021-05-04 00:46:18,Cdub23456,United States,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
28,2021-05-04 00:59:00,Mike3120431204,"Riverdale, GA","Flash dump on $btc again... affecting not only $doge, but all alts.. dumb ducks are selling... n whales are accumul… https://t.co/dKzAK8rZg0"
27,2021-05-04 05:13:56,GeoffLierse,,@parkeralewis @Tesla Master of Pump and Dump really. The Q1 2021 Tesla profit was all from selling BTC. Tesla has n… https://t.co/GJs8hAILMo
26,2021-05-04 08:28:15,currency_nomad,Jupiter,"@Danbark1972 The point is to become educated and not hodl the ""pump and dumps"" why on Earth would you do that? Why… https://t.co/YaNopHR7cy"
25,2021-05-04 09:45:42,GalaxyTraging,"Berlin, Germany ","Dump people selling their $BTC for USDT now, smart people selling their #BTC for $ALTS !
#Bitcoin #altcoin"
24,2021-05-04 10:45:21,J45198198,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
23,2021-05-04 12:17:10,Hexfield1990,,"RT @Paddy_Stash: $TEL Volume on the $BTC pair is up to 180 btc volume.  Big dump just now. 

In a bull market dips are for loading..
In a b…"
22,2021-05-04 13:08:29,medic876,,@Michael66309850 @nicotrade1 @BTC_JackSparrow Exactly.  No stress in selling here and waiting for retests.  It might dump down too.
21,2021-05-04 13:23:17,pedey69,Wallstreet,Why did #bitcoin dump 4K from its highs yesterday? Simple everyone and their mom has been making money on alts   Bu… https://t.co/SO9RTlcFZE
20,2021-05-04 13:41:24,MitkoApostolof,Bulgaria,"RT @GalaxyTraging: Dump people selling their $BTC for USDT now, smart people selling their #BTC for $ALTS !
#Bitcoin #altcoin"
