,date,user,location,comment
19,2021-05-04 13:42:29,bester_guy,,@TheMoonCarl Screw that! BTC done nothing last two months. I’m selling to buy Doge. No more whale bullshit pump n dump for a while 👌🏻🏁
18,2021-05-04 14:10:57,WszyscyUmrzemyl,,"@DogecoinRise people are selling BTC and buying DOGE, hope it is note a one time pump and dump."
17,2021-05-04 14:22:54,Mike3120431204,"Riverdale, GA",Whales trying to cause a $btc flash dump to cause panic selling.. so that they can accumulate more alts...primarily… https://t.co/jvRf6keRjB
16,2021-05-04 15:00:41,ConnStevenson91,Abbey Park 45m Line,"@griffin_hodl @WClementeIII @glassnode Big dump causes price decrease, price decrease causes fear, people sell, pri… https://t.co/CeH1ZKil2J"
15,2021-05-04 16:00:37,Mike3120431204,"Riverdale, GA","@davidgokhshtein I'm starting to think that $btc is the problem, hindering most projects. Whales come thru, manipul… https://t.co/E0TeKyXSo7"
14,2021-05-04 20:43:17,bulloozer,,Keep selling #BTC dump it to 1k.
13,2021-05-05 00:52:02,MetalMaximalist,100k,@chowcollection seriously?! i made a decision to live on the btc standard a few yrs ago. went all-in with my fiat a… https://t.co/1ZeW0vTaPZ
12,2021-05-05 03:42:42,jonsernest,"Highland Park, IL",@dannorton34 @AmpleforthOrg Feeling like $uni v3 and 4th “letdown” along with BTC dump has the lows printed. Who is… https://t.co/DR6lCEhLQk
11,2021-05-05 14:25:15,KosmosKrypto,New Zealand,@SalsaTekila What stopping miner from not selling to drive price up. Fill their shorts then dump all btc at once? Nothing
10,2021-05-06 18:07:57,egosareheavy,,@thecryptomonk I lost a million mint coins after the mint pump and dump😂.kept some for nostalgia and hopium after s… https://t.co/pZdvdEUZYB
9,2021-05-06 20:25:29,vajolleratzii,,@Shawncito830 I am selling heavy alts this summer and then I am moving the profit into USDC. After the dump I will… https://t.co/xN5lDbJ7yj
8,2021-05-08 01:38:06,ASpsupri1,,"@crypto_bitlord7 You guys should start selling doge while the price is still good, you cant keep using all of your… https://t.co/xM0tde12AR"
7,2021-05-09 04:39:26,ohmemadejuice,,"I don’t know what to tell ya, if you didn’t see this rug pull coming $doge I also like how they did a fakeout $btc… https://t.co/LfUD4buALq"
6,2021-05-09 05:03:37,duganist,,Well I really hope people don't dump all their DOGE and this thing holds 40 cents and bases up to a $2 target by th… https://t.co/y3PLeE1hBc
5,2021-05-09 14:09:01,Socrates_1337,Malta,Selling now is pure stupidity. So many people sitting on the sidelines and buying every dip. Just look at the chart… https://t.co/gLORNJBmFD
4,2021-05-09 14:51:55,UltraXBT,moon,RT @duganist: Well I really hope people don't dump all their DOGE and this thing holds 40 cents and bases up to a $2 target by the time BTC…
3,2021-05-09 19:00:07,IAAPG1,Island of Misfit Doges,What you are looking at here is a failed market manipulation from the #btc #Ethereum haters. Imagine selling millio… https://t.co/RqT3RzeZzo
2,2021-05-09 22:47:37,Sean26917341,,@BarrySilbert Haha we are not Selling! None of us have Btc. Why would we pump so you can dump in btc?!
1,2021-05-10 02:09:08,ryan_stines,,@RaoulGMI @iamtheidentity Selling BTC at all is paper hands.  God a hope your alts dump on you hard.
0,2021-05-10 02:39:50,JadePenn4,New Zealand,"@DavidPBitcoin My new price suppression theory:
1. whales put a ceiling sell order on
2. They allocate extra capita… https://t.co/2FaawdDj0a"
