,date,dogecoin,isPartial
146,2016-03-01 00:00:00,0,False
147,2016-04-01 00:00:00,0,False
148,2016-05-01 00:00:00,0,False
149,2016-06-01 00:00:00,0,False
150,2016-07-01 00:00:00,0,False
151,2016-08-01 00:00:00,0,False
152,2016-09-01 00:00:00,0,False
153,2016-10-01 00:00:00,0,False
154,2016-11-01 00:00:00,0,False
155,2016-12-01 00:00:00,0,False
156,2017-01-01 00:00:00,0,False
157,2017-02-01 00:00:00,0,False
158,2017-03-01 00:00:00,0,False
159,2017-04-01 00:00:00,0,False
160,2017-05-01 00:00:00,0,False
161,2017-06-01 00:00:00,0,False
162,2017-07-01 00:00:00,0,False
163,2017-08-01 00:00:00,0,False
164,2017-09-01 00:00:00,0,False
165,2017-10-01 00:00:00,0,False
166,2017-11-01 00:00:00,1,False
167,2017-12-01 00:00:00,2,False
168,2018-01-01 00:00:00,3,False
169,2018-02-01 00:00:00,1,False
170,2018-03-01 00:00:00,1,False
171,2018-04-01 00:00:00,1,False
172,2018-05-01 00:00:00,0,False
173,2018-06-01 00:00:00,0,False
174,2018-07-01 00:00:00,0,False
175,2018-08-01 00:00:00,0,False
176,2018-09-01 00:00:00,1,False
177,2018-10-01 00:00:00,0,False
178,2018-11-01 00:00:00,1,False
179,2018-12-01 00:00:00,0,False
180,2019-01-01 00:00:00,0,False
181,2019-02-01 00:00:00,0,False
182,2019-03-01 00:00:00,0,False
183,2019-04-01 00:00:00,0,False
184,2019-05-01 00:00:00,0,False
185,2019-06-01 00:00:00,1,False
186,2019-07-01 00:00:00,1,False
187,2019-08-01 00:00:00,0,False
188,2019-09-01 00:00:00,0,False
189,2019-10-01 00:00:00,0,False
190,2019-11-01 00:00:00,0,False
191,2019-12-01 00:00:00,0,False
192,2020-01-01 00:00:00,0,False
193,2020-02-01 00:00:00,0,False
194,2020-03-01 00:00:00,0,False
195,2020-04-01 00:00:00,0,False
196,2020-05-01 00:00:00,0,False
197,2020-06-01 00:00:00,0,False
198,2020-07-01 00:00:00,2,False
199,2020-08-01 00:00:00,0,False
200,2020-09-01 00:00:00,0,False
201,2020-10-01 00:00:00,0,False
202,2020-11-01 00:00:00,0,False
203,2020-12-01 00:00:00,1,False
204,2021-01-01 00:00:00,18,False
205,2021-02-01 00:00:00,32,False
206,2021-03-01 00:00:00,7,False
207,2021-04-01 00:00:00,45,False
208,2021-05-01 00:00:00,100,True
