,date,user,location,comment
0,2021-05-09 22:42:31,crypto_tech5,,"Aped into $SAT. It's a #safemoon clone but the MC is actually growing faster than safemoon did. 

@Saturna_Token"
1,2021-05-09 22:14:41,GSDogira,Dogecity,RT @LensDeShaz: Put some money into @SaturnaToken 2 nights ago without much thought. Woke up this morning and saw my investment 3xd already…
2,2021-05-09 12:49:06,LensDeShaz,"Cardiff, Wales",Put some money into @SaturnaToken 2 nights ago without much thought. Woke up this morning and saw my investment 3xd… https://t.co/UgiPxyU0Kf
